team,match_key,player_key
Delhi Capitals,1304080,SKn3537
Delhi Capitals,1304080,RPt945
Delhi Capitals,1304080,LYv3543
Delhi Capitals,1304080,APl721
Delhi Capitals,1304080,STr1381
Delhi Capitals,1304080,RPl516
Delhi Capitals,1304080,KYv289
Delhi Capitals,1304080,MRn830
Delhi Capitals,1304080,KAd1449
Delhi Capitals,1304096,MSh2332
Delhi Capitals,1304096,DWr168
Delhi Capitals,1304096,MMh835
Delhi Capitals,1304096,RPt945
Delhi Capitals,1304096,RPl516
Delhi Capitals,1304096,LYv3543
Delhi Capitals,1304096,RPl3630
Delhi Capitals,1304096,STr1381
Delhi Capitals,1304096,KYv289
Delhi Capitals,1304096,ANe1413
Delhi Capitals,1304096,KAd1449
Sunrisers Hyderabad,1304096,ASa3461
Sunrisers Hyderabad,1304096,KWn726
Sunrisers Hyderabad,1304096,RTi3462
Sunrisers Hyderabad,1304096,AMm964
Sunrisers Hyderabad,1304096,NPn514
Sunrisers Hyderabad,1304096,SSh3463
Sunrisers Hyderabad,1304096,SAt1551
Sunrisers Hyderabad,1304096,SGl3524
Sunrisers Hyderabad,1304096,KTi3536
Sunrisers Hyderabad,1304096,BKr287
Sunrisers Hyderabad,1304096,UMk1846
Mumbai Indians,1304079,RSa605
Mumbai Indians,1304079,IKn1380
Mumbai Indians,1304079,DBs3166
Mumbai Indians,1304079,SYv968
Mumbai Indians,1304079,TVa3475
Mumbai Indians,1304079,HSn3496
Mumbai Indians,1304079,KPd513
Mumbai Indians,1304079,DSs1552
Mumbai Indians,1304079,JUt2172
Mumbai Indians,1304079,RMh2338
Mumbai Indians,1304079,JBh724
Chennai Super Kings,1304079,RGd282
Chennai Super Kings,1304079,RUa1125
Chennai Super Kings,1304079,MSr401
Chennai Super Kings,1304079,ARu2333
Chennai Super Kings,1304079,SDe944
Chennai Super Kings,1304079,RJa609
Chennai Super Kings,1304079,MDi608
Chennai Super Kings,1304079,DPs889
Chennai Super Kings,1304079,DBo344
Chennai Super Kings,1304079,MCy3522
Chennai Super Kings,1304079,MTa383
Rajasthan Royals,1304055,JBr161
Rajasthan Royals,1304055,YJl3557
Rajasthan Royals,1304055,DPl284
Rajasthan Royals,1304055,SSn285
Rajasthan Royals,1304055,SHr892
Rajasthan Royals,1304055,RPg3493
Rajasthan Royals,1304055,RAn610
Rajasthan Royals,1304055,NSi288
Rajasthan Royals,1304055,TBt732
Rajasthan Royals,1304055,YCl723
Rajasthan Royals,1304055,MPKa3494
Mumbai Indians,1304055,IKn1380
Mumbai Indians,1304055,RSa605
Mumbai Indians,1304055,ASh3510
Mumbai Indians,1304055,TVa3475
Mumbai Indians,1304055,KPd513
Mumbai Indians,1304055,TDd1363
Mumbai Indians,1304055,DSs1552
Mumbai Indians,1304055,MAn3471
Mumbai Indians,1304055,JBh724
Mumbai Indians,1304055,TMs479
Mumbai Indians,1304055,BTi3476
Delhi Capitals,1304110,DWr168
Delhi Capitals,1304110,SKn3537
Delhi Capitals,1304110,MMh835
Delhi Capitals,1304110,LYv3543
Delhi Capitals,1304110,RPt945
Delhi Capitals,1304110,RPl516
Delhi Capitals,1304110,APl721
