city,venue,mapped_venue
,Uxbridge Cricket Club Ground,"Uxbridge Cricket Club Ground, Uxbridge"
Uxbridge,Uxbridge Cricket Club Ground,"Uxbridge Cricket Club Ground, Uxbridge"
Nagpur,"Vidarbha Cricket Association Stadium, Jamtha","Vidarbha Cricket Association Stadium, Jamtha, Nagpur"
Nagpur,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur","Vidarbha Cricket Association Stadium, Jamtha, Nagpur"
Amstelveen,VRA Ground,"VRA Ground, Amstelveen"
Perth,W.A.C.A. Ground,"W.A.C.A. Ground, Perth"
Windhoek,Wanderers,"Wanderers Cricket Ground, Windhoek"
Windhoek,Wanderers Cricket Ground,"Wanderers Cricket Ground, Windhoek"
Windhoek,"Wanderers Cricket Ground, Windhoek","Wanderers Cricket Ground, Windhoek"
Mumbai,Wankhede Stadium,"Wankhede Stadium, Mumbai"
Mumbai,"Wankhede Stadium, Mumbai","Wankhede Stadium, Mumbai"
St Kitts,"Warner Park, Basseterre","Warner Park, Basseterre, St Kitts"
,"Warner Park, Basseterre","Warner Park, Basseterre, St Kitts"
Basseterre,"Warner Park, Basseterre, St Kitts","Warner Park, Basseterre, St Kitts"
Basseterre,"Warner Park, St Kitts","Warner Park, Basseterre, St Kitts"
Doha,"West End Park International Cricket Stadium, Doha","West End Park International Cricket Stadium, Doha, Doha"
Perth,Western Australia Cricket Association Ground,"Western Australia Cricket Association Ground, Perth"
Wellington,Westpac Stadium,"Westpac Stadium, Wellington"
Hamilton,"White Hill Field, Sandys Parish","White Hill Field, Sandys Parish, Hamilton"
Benoni,"Willowmoore Park, Benoni","Willowmoore Park, Benoni, Benoni"
Dominica,"Windsor Park, Roseau","Windsor Park, Roseau, Dominica"
Roseau,"Windsor Park, Roseau, Dominica","Windsor Park, Roseau, Dominica"
Chittagong,Zahur Ahmed Chowdhury Stadium,"Zahur Ahmed Chowdhury Stadium, Chittagong"
Chattogram,Zahur Ahmed Chowdhury Stadium,"Zahur Ahmed Chowdhury Stadium, Chittagong"
